,red_text,black_text,color,temp,service
1970,"И ныне, Богородичен:
",,red,,
1971,,"Пресущнаго Божества нераздельную славу, кто возможет изрещи? Едино бо Естеством сущи Троица поется безначальная, срасленная яко Единица, в Троице певаемая Ипостасьми простыми.
",black,,
1972,"Песнь 5.
",,red,,
1973,,"Во чрево Твое всельшагося безмужно рождшая Мати Дево Чистая, непрестанно моли яко Богородица, разрешити узы многих моих согрешений: можеши бо, елика хощеши помощи.
",black,,
1974,"Ирмос:
",,red,,
1975,"Богородичен:
",,red,,
1976,,"утренюем утреннюю глубоку:
Безмерное Твое благоутробие: Приступим свещеноснии:
",black,,
1977,"Ин.
",,red,,
1978,,"Просвещается Божественными лучами и живоносными Воскресения Сына Твоего, Богомати Пречистая, и радости исполняется благочестивых собрание.
Не разверзл еси врата девства в воплощении, гроба не разрушил еси печатей Царю создания: отонудуже воскресшаго Тя зрящи Мати, радовашеся.
",black,,
1979,"Ирмос:
",,red,,
1980,"Слава:
",,red,,
1981,,"Мглу души моея Спасе мой разгнав светом заповедей Твоих озари мя, яко един Царь мира.
Ты первую одежду мою, юже ми истка, увы мне, сеятель греха, совлекл еси Спасе мой, облекся в мя.
Листвие смоковное сши мне грех мой, увы мне, не сохраншему, Спасе мой, пречистую заповедь Твою, змииным советом.
Уязвившуюся душу мою разбойническими помышленьми моими, представый иже от Марии, и елей возлияв, исцели Христос.
У Креста предстоящи Пречистая Богородица, матерски взываше: оставил Мя еси едину, о Сыне Мой и Боже!
Ты злоначальнаго змия оружием Креста Твоего низложив, Твоим востанием, сокрушил еси жало смерти Иисусе.
Где твое, смерте, жало? где твоя, аде, победа? Адам да свопиет: сокрушился еси оживлением воздвигшаго мертвыя.
Мироносицы жены гроба Твоего достигшыя, оживившаго дольных, глас слышаху глаголющий: воскресе Христос.
Благочестивых мироносиц память совершающе, и всех ученик Твоих, в светлом Твоем востании, воспеваем Тя Христе.
Благообразнаго вси почтим достойно, иже тело Господне от Древа сня, и погребе верно.
",black,,
1982,"И ныне:
",,red,,
1983,,"Тебе Богу и Отцу, и Сыну, и Духу покланяюся, трем Ипостасем, и едино три верую, Существом единем.
",black,,
1984,"Песнь 6.
",,red,,
1985,,"Тя безсеменным Рождеством родившую паче естества обновившаго естество, Христа единаго Владыку воспеваем вернии.
",black,,
1986,"Ирмос:
",,red,,
1987,"Богородичен:
",,red,,
1988,,"Снизшел еси в преисподняя земли:
Сохранив цела знамения Христе: Спасе мой, живое же:
",black,,
1989,"Ин.
",,red,,
1990,,"Возведеся древле держимое смертию и тлением, воплотившимся от Твоего пречистаго чрева, к нетленней, и присносущней жизни, Богородице Дево.
Сниде в преисподняя земли, в ложесна Твоя Чистая сшедый, и вселивыйся и воплотивыйся паче ума, и воздвиже с Собою Адама, воскрес от гроба.
",black,,
1991,"Ирмос:
",,red,,
1992,"Слава:
",,red,,
1993,,"Во глубине греховней содержимь есмь Спасе, и в пучине житейстей обуреваемь: но якоже Иону от зверя, и мене от страстей возведи, и спаси мя.
Мертв есть ад, дерзайте земнороднии, Христос бо на Древе висяй, верже оружие нань, и лежит мертв: яже бо имяше, пленися обнажився.
Пленися ад, дерзайте мертвии, и гроби отверзошася, востаните от ада, вопиет вам Христос, вся пришедый избавити от смерти и тли.
Мертвыя якоже возмог пожерл еси иногда, ныне истязуемь аде, отдаждь Ми, вопиет тебе Жизнодавец и Бог, вся пришедый избавити от несытаго твоего чрева.
Жены мироносицы, что тщитеся прочее? что же живому мира приносите, воскресе Христос, якоже предрече. Да престанут вашя слезы, прешедшыя на радость.
Плащаницею Тя Христе обвив Иосиф благообразный, во гробе положи: миропомазав же разоренный Твоего телесе храм, привали камень великий ко гробу.
Господь воскресе пленивый врага, и узники исторгнув, возведе вся, и первозданнаго Адама, того возставляя, яко Благоутробен и Человеколюбец Бог.
",black,,
1994,"И ныне: Богородичен:
",,red,,
1995,,"Троицу во Единстве воспоим вернии, с Сыном Отца славяще, и Духа единосущна Сыну, и суща во Отце собезначальнаго и присносущнаго Бога.
",black,,
1996,"Кондак, глас 2:
",,red,,
1997,,"Во чреве невозделанно зачала еси Чистая, нетления грозд, яко лоза: из неяже безсмертия токи, якоже вино нам источают вечную жизнь.
",black,,
1998,"Икос:
",,red,,
1999,,"Радоватися мироносицам повелел еси, плачь праматере Евы утолил еси Воскреснием Твоим Христе Боже, апостолом же Твоим проповедати повелел еси: Спас воскресе от гроба.
",black,,
2000,"Синаксарь минеи. Таже настоящий.
",,red,,
2001,,"На гроб Твой Спасе мироносицы идущыя, к себе недоумевахуся умом, и вещаху: кто нам камень отвалит гробный? И воззревшя видят, яко камень отвален бе, зраку же ангелову со одеянием дивляхуся: содержими же бяху трепетом, и бежати помышляху. и к ним юноша возопи: не бойтеся вы, Егоже ищете воста, приидите, видите место, идеже лежаше тело Иисусово, и скоро шедшыя возвестите учеником: Спас воскресе от гроба.
",black,,
2002,"Стихи:
",,red,,
2003,"Песнь 7.
",,red,,
2004,,"Христу носят ученицы мира:
Аз же сим песнь, яко мира ношу.
",black,,
2005,"Ирмос:
",,red,,
2006,"Богородичен:
",,red,,
2007,,"Отроки от пещи:
Жены с миры: Смерти празднуем: Яко воистинну священная:
",black,,
2008,"Ин.
",,red,,
2009,,"Умертвив Сын Твой смерть, Всенепорочная днесь, всем смертным пребывающий живот во веки веков дарова, един благословенный отцев Бог и препрославленный.
Всем царствуяй созданием, быв Человек, вселися во Твою Богоблагодатная утробу, и распятие претерпев и смерть, воскресе Боголепно, совозставив нас яко всесилен.
",black,,
2010,"Ирмос:
",,red,,
2011,"Слава:
",,red,,
2012,,"Херувимы подражающе отроцы в пещи ликовствоваху, вопиюще: благословен еси Боже, яко истиною и судом навел еси сия вся, грех ради наших: препетый и препрославленный во вся веки.
Ты яко Человеколюбец, хотяй вся спасти от прелести, яже создал еси, претерпел еси пригвоздитися на Кресте: да погребенный образ страстьми, сей плотию Твоею обновиши Спасе, и ад низложив, воскресил еси и умершыя с Собою.
На Кресте возвышаемь, вся призвал еси к Себе Щедре, якоже обещал еси Блаже: яко воистинну вся сия грехов ради наших пострадати благоволил еси. Темже и разбойнику райская врата отверзл еси Спасе.
Ты храм телесный воздвигл еси разоренный, тридневно из гроба, якоже обещал еси Блаже: да воистинну скажеши славу Твою, юже нам источаеши верою, узы разрешив, ихже держаше древле ад связанных.
О иудейское безумие! о неистовство беззаконных! что неверное видевше, не веровасте Христу? яко немощныя, не словом ли воздвиже? или яко весь мир Той не спасе ли, да уверяют вас поне воини, или воскресшие из мертвых.
Омертвевшии стражие ныне да глаголют, како украден бысть, Егоже не видеша неразумнии всегда? Аще бо воскресша не видеша, ни ощутиша, како украдена Сего разумети можаху когда? Да уверит вы поне камень сей, и погребальная Христова.
Что яко мертва блюдете? что печати на камени положисте еврее, страхом боящеся крадения? Се воистинну гроб запечатлеся: како убо воскресе, аще не бы Бог был Христос? да уверяют вы воскресшии, и видени бывшии многими.
",black,,
2013,"И ныне, Богородичен:
",,red,,
2014,,"Со Отцем славим Сына, и Духа Святаго, вопиюще непрестанным гласом: Троице единственное Существо, помилуй, спаси вся, в триех Лицех Единице ущедри ны, препрославленный Боже во веки.
",black,,
2015,"Песнь 8.
",,red,,
2016,,"Во чреве Твоем Пречистая, како вместила еси Младенца, Егоже трепещут силы ангельския яко Бога? Разве якоже восхоте, якоже весть вселися, вся спасти хотяй от Адама земнородныя, разрешивый адама клятвы оныя, снедию горькою.
",black,,
2017,"Ирмос:
",,red,,
2018,"Богородичен:
",,red,,
2019,,"Сей нареченный:
Приидите новаго: Возведи окрест очи твои: Отче вседержителю:
",black,,
2020,"Ин.
",,red,,
2021,,"Прииде Тобою в мир Господь Дево Богородице, и чрево адово расторг, смертным нам воскресение дарова: темже благословим Его во веки.
Всю низложив смерти державу Сын Твой Дево, Своим Воскресением, яко Бог крепкий совознесе нас и обожи: темже воспеваем Его во веки.
",black,,
2022,"Ирмос:
",,red,,
2023,"И ныне: Богородичен:
",,red,,
2024,,"В купине Моисею Девы чудо, на Синайстей горе, прообразившаго иногда пойте, благословите и превозносите во вся веки.
Солнечныя зари спрятахуся страхом Христовых страданий, и востаяху мертвии, и горы прекланяхуся, и колебашеся земля, и ад обнажашеся.
В пещи сущии иногда треблаженнии отроцы возвышающе руки, проображаху Блаже пречестный Крест Твой, имже низложил еси Христе вражию силу.
О иудее слепии прелестницы и преступницы, Христову Воскресению неверующии, яко ложному: что неверное видите, яко воскресе Христос, мертвыя воздвигий?
О иудее врази, аще и нам не веруете, вашя воины вы вопросите, что пострадаша они? кто отваливый руками камень от гроба?
Кто изсушивый смоковницу? кто же сухую исцеливый руку? кто насытивый иногда множества в пустыни, аще не Христос Бог, мертвыя воздвигнувый?
Кто просветивый слепцы, и прокаженныя очистивый, и хромыя исправивый, и пешешествовавый море немокренно яко сушу, аще не Христос Бог, мертвыя воздвигнувый?
Кто воздвигнувый мертва четверодневна из гроба, вдовича сына? кто стягнувый яко Бог разслаблена на одре, аще не Христос Бог, мертвыя воздвигнувый?
Зовет камень самый, печати вопиют, яже вы положивше, постависте стражу хранящую гроб: воистинну воскресе Христос, и живет во веки.
Воистинну воскресе Христос, пленен бысть ад, умертвися змий, избавися Адам, потрясошася дольнии: что не веруете прочее, врази и преступницы?
Благословим Отца, и Сына, и Святаго Духа Господа.
Со Отцем Сына, и Духа Святаго Святую Троицу в Божестве едином прославляем, вопиюще: Свят, Свят, Свят еси во веки.
",black,,
2025,"Катавасиа:
",,red,,
2026,,"Во чреве Твоем Чистая, присноживотный хлеб, смешеный несмесно, смешением нашим, родила еси непреложно единаго Христа Бога во двою существу.
Хвалим, благословим, покланяемся Господеви:
",black,,
2027,"Честнейшую: не поем до отдания Пасхи во вся Недели.
",,red,,
2028,,"Сей нареченный и святый день:
",black,,
2029,"Песнь 9.
",,red,,
2030,"Ирмос:
",,red,,
2031,"Богородичен:
",,red,,
2032,,"Светися, светися новый иерусалиме:
О божественнаго, о любезнаго! О пасха велия и священнейшая!
",black,,
2033,"Ин.
",,red,,
2034,,"Согласно Дево, Тебе блажим вернии: радуйся двере Господня: радуйся граде одушевленный: радуйся, Еяже ради нам ныне возсия свет, из Тебе Рожденнаго из мертвых Воскресения.
Веселися и радуйся божественная двере Света: зашедый бо Иисус во гроб возсия, просияв солнца светлее, и верныя вся озарив, Богорадованная Владычице.
",black,,
2035,"Ирмос:
",,red,,
2036,"Слава:
",,red,,
2037,,"Преестественно плотию заченшую во чреве, от Отца безлетно предвозсиявшее Слово, в песнех немолчных величаем вернии.
Иже на Кресте разбойника познавша Тя Бога, наследника соделал еси мысленному раю, еже помяни мя вопиюща, Всесильне Спасе.
Заушен нас ради, и оплеван был еси Иисусе от беззаконников, скрижали закона начертавый в Синаи, угоднику Моисею.
Оцта и желчи Спасе, напоен был еси нас ради, давый нам тело и честную кровь, в снедь же и питие вечныя Твоея жизни.
В животворная ребра копием прободен быв Христе, пречистую Твою кровь, и честную воду источил еси мирови, яко присноживотный источник.
Вменился еси в мертвых, оживлей мертвыя: во гробе положен еси, истощивый гробы: пленил еси ад, воскресив Адама.
Воскресл еси Иисусе, связан бысть враг, пленися ад, испразднишася гроби, восташа дольнии, покланяющеся Тебе Христе.
Кто украдый мертваго, паче же и нага? что льститеся еврее? Христос воскресе, и разрушаются адовы узы и вереи.
Слава Тебе Христе Спасе, источивый жизнь, и свет возсиявый сущым во тме неведения, и всю землю просветивый востанием Твоим.
Благообразный советник Иосиф, да поется с мироносицами, и божественными ученики, яко проповедник сый и сей, востания Христова.
Иосифа чуднаго да восхвалим вернии, купно с Никодимом, и мироносицами верными, вопиющыя: Господь воскресе воистинну.
",black,,
2038,"И ныне: Богородичен:
",,red,,
2039,,"Безначален еси Отче, несозданен еси Сыне, сопрестолен и Душе Святый, едино [сия три] Естеством, и три Лицы, едине Боже истинный.
",black,,
2040,"Вместо Достойно: ирмос, катавасиа:
",,red,,
2041,,"Да веселится Иессей, да ликовствует и Давид: се бо Дева Богорасленный жезл прозябе, цвет присноживотный Христа.
",black,,
2042,"Таже,
",,red,,
2043,,"Светися, светися:
",black,,
2044,"На глас 2. Ексапостиларий Пасце,
",,red,,
2045,,"Свят Господь Бог наш.
",black,,
2046,"единожды, ищи лист 7.
",,red,,
2047,,"Плотию уснув:
",black,,
2048,"Слава:
",,red,,
2049,"И ныне: тойже.
",,red,,
2050,,"мироносицам:
Жены услышите глас радования: мучителя ада поправый, от тли мир воздвиже, тецыте, другом рцыте Моим благовестия: хощу бо создание Свое радостию озарити, отонудуже прииде печаль.
",black,,
2051,"На хвалитех,
",,red,,
2052,"поставим стихов 8. И поем стихиры воскресны 4, глас 2.
",,red,,
2053,,"Всякое дыхание:
",black,,
2054,"Стих:
",,red,,
2055,"Стих:
",,red,,
2056,,"Сотворити в них суд написан: слава сия будет всем преподобным Его.
Всякое дыхание и вся тварь, Тя славит Господи, яко Крестом смерть упразднил еси, да покажеши людем, еже из мертвых Твое Воскресние, яко един Человеколюбец.
",black,,
2057,"Стих:
",,red,,
2058,,"Хвалите Бога во святых Его, хвалите Его во утвержении силы Его.
Да рекут иудее, како воини погубиша стрегущии Царя? почто бо Камень не сохрани камене жизни? или погребеннаго да дадят, или Воскресшему да поклонятся, глаголюще с нами: слава множеству щедрот Твоих, Спасе наш, слава Тебе.
",black,,
2059,"Стих:
",,red,,
2060,,"Хвалите Его на силах Его, хвалите его по множеству величествия Его.
Радуйтеся людие и веселитеся, ангел седяй на камени гробнем, той нам благовести, рек: Христос воскресе из мертвых, спас мира, и исполни всяческая благоухания: радуйтеся людие и веселитеся.
",black,,
2061,"Стих:
",,red,,
2062,,"Хвалите Его во гласе трубнем: хвалите Его во псалтири и гуслех.
Ангел убо еже радуйся, прежде Твоего зачатия Господи, Благодатней принесе: ангел же камень славнаго Твоего гроба в Твое Воскресние отвали: ов убо в печали место, веселия образы возвещая: сей же в смерти место, Владыку Жизнодавца проповедуя нам, темже вопием Ти: Благодетелю всех, Господи слава Тебе.
",black,,
2063,"Стих:
",,red,,
2064,,"Хвалите Его в тимпане и лице, хвалите Его во струнах и органе.
Возлияша мира со слезами на гроб Твой жены, и исполнишася радости уста их, внегда глаголати: воскресе Господь.
",black,,
2065,"Стих:
",,red,,
2066,,"Хвалите его в кимвалех доброгласных:
Да похвалят языцы и людие Христа Бога нашего, волею нас ради Крест претерпевшаго, и во аде тридневновавшаго, и да поклонятся Его из мертвых Воскресению, имже просветишася всего мира концы.
",black,,
2067,"Стих:
",,red,,
2068,,"Воскресни Господи Боже мой, да вознесется рука Твоя:
Распят и погребен был еси Христе, якоже изволил еси, испровергл еси смерть, и воскресл еси во славе, яко Бог и Владыка, даруя мирови жизнь вечную, и велию милость.
",black,,
2069,"[Сия же запевы по вся воскресения.]
",,red,,
2070,,"Исповемся Тебе Господи всем сердцем моим:
",black,,
2071,"Слава: глас 2. Стихира евангльская:
",,red,,
2072,,"О воистинну беззаконнии печатавшии камень, больших нас чудес сподобисте! Имут разум стражие, днесь пройде из гроба, и глаголаху: рцыте, яко нам спящым, приидоша ученицы, и украдоша Его. И кто крадет мертвеца, паче же и нага? Сам воскресе самовластно яко Бог, оставль во гробе и погребательная Своя. Приидите видите иудее, како не расторже печати смерть поправый, и роду человеческому безконечную жизнь даруяй, и велию милость.
",black,,
2073,"И ныне:
",,red,,
2074,,"С миры пришедшым яже с Мариею женам, и недоумевающымся, како будет им улучити желание, явися камень взятый, и божественный юноша утоляяй мятеж душ их: воста бо, глаголет, Иисус Господь. Темже проповедите проповедником Его учеником, в Галилею тещи, и видети Его воскресша из мертвых, яко Жизнодавца и Господа.
",black,,
2075,"Славословие великое. Тропарь воскресен. Ектении, и отпуст. И обычное исхождение в притвор. И поучение студитово. И час 1-й. И совершенный отпуст. На часех тропарь воскресен. Слава:
",,red,,
2076,,"Преблагословенна еси Богородице Дево:
",black,,
2077,"И ныне: богородичен часов. По трисвятом кондак:
",,red,,
2078,,"Благообразный Иосиф:
",black,,
2079,"Такожде бывает и на прочих часех.
",,red,,
2080,,"Радоватися мироносицам:
",black,,
2081,"На литургии блаженна гласа, на 4, глас 2:
",,red,,
2082,"И от канона дне, песнь 6, на 4.
",,red,,
2083,,"Помяни Благоутробне и нас, якоже помянул еси разбойника во Царствии Небеснем.
Древо изгна Адама, Крест введе разбойника в Царство Небесное.
Гроб подъят Тя Спасе, гробы истощившаго, и мертвым живот даровавшаго, яко Бога.
Апостоли славнии Христовы, Того молите прилежно, да от бед спасет ны.
",black,,
2084,"По входе тропарь:
",,red,,
2085,"Слава: кондак триоди: И ныне: Пасхи:
",,red,,
2086,,"Егда снизшел еси к смерти: и Благообразный Иосиф:
",black,,
2087,"Прокимен, глас 6:
",,red,,
2088,,"Аще и во гроб:
",black,,
2089,"Стих:
",,red,,
2090,,"Спаси Господи люди Твоя, и благослови достояние Твое.
",black,,
2091,"Апостол деяний, зачало 16:
",,red,,
2092,,"К тебе Господи воззову, Боже мой, да не премолчиши от мене.
",black,,
2093,"Аллилуиа, глас 8:
",,red,,
2094,,"Умножившымся учеником:
",black,,
2095,"Стих:
",,red,,
2096,,"Благоволил еси Господи землю Твою, возвратил еси плен Иаковль.
",black,,
2097,"Еванглие от Марка, зачало 69:
",,red,,
2098,,"Милость и истина сретостеся, правда и мир облобызастася.
",black,,
2099,"Причастный:
",,red,,
2100,,"Прииде Иосиф.
",black,,
2101,"Другий:
",,red,,
2102,,"Тело Христово приимите:
",black,,
2103,"[зри] Аще храм святых жен мироносиц, на Малей и Велицей вечерни, и на Утрени, и на Литургии, поем во всем подобне, якоже великомученику Георгию. Точию на Вечерни паремии чтем, писаны в Неделю всех святых.
",,red,,
2104,,"Хвалите Господа с небес:
",black,,
2105,"На Утрени по полиелеи величание поем сице:
",,red,,
2106,"Псалом:
",,red,,
2107,,"Величаем вас святыя мироносицы, и чтем святую память вашу: вы бо молите о нас Христа Бога нашего.
",black,,
2108,"и прочая.
",,red,,
2109,,"Блажен муж бояйся Господа:
",black,,
2110,"### В Неделю вечера,
",,red,,3_1_3
2111,"поставим стихов 6, и поем стихиры праздника 3.
",,red,,
2112,,"На Господи воззвах:
",black,,
2113,"Стихиры праздника, глас 5.
",,red,,
2114,"Подобен:
",,red,,
2115,"И Минеи 3. Слава и ныне: глас 1:
",,red,,
2116,,"Радуйся постником:
Гвоздьми пригвоздився, клятву юже на древе, Древом потребил еси: положив же Ся во гробе, яже от века мертвыя Божественною силою воскресил еси, Твою силу велегласно славим: Пасха Божественная Иисусе Всесильне, Животе наш, Отчее сияние. Темже небесная с земными радуются, победныя песни Тебе победотворче Слове поюще, Христе Вседержителю, подающему мирови велию милость.
Убо с мертвыми Живот, под землею же невечернее Солнце, еще и ныне есть, мироносиц лик рыдая вопияше: приидите тецем тщательно, и узрим у гроба святаго. Внутрь же сего блистающася ангела узревше, недоумеющеся ужасахуся: иже преложив их рыдание, возопи: Жизнодавец воскресе, не ужасайтеся любочестнии, Той царствует, даруяй мирови велию милость.
Рано женский лик, прежде солнца, сущаго взыскаше солнца, во гроб зашедшаго тогда, светозарный же тем провозглашаше ангел: возсия Свет, озаряяй во тме спящыя, светозарным учеником возвестите: плачь в радость преложите, Пасху же радостную и мироспасительную, несумненным сердцем плещуще ликуйте: Христос воскресе, даруяй мирови велию милость.
",black,,
2117,"Таже:
",,red,,
2118,,"Мироносицы жены ко гробу что приидосте? что ищете живаго в мертвых? Воскресе Господь, дерзайте, вопиет ангел.
",black,,
2119,"На стиховне стихира воскресна, глас 2:
",,red,,
2120,,"Свете тихий:
",black,,
2121,"Стих:
",,red,,
2122,,"Прежде век от Отца рождшемуся Божию Слову, воплощшемуся от Девы Марии, приидите поклонимся: Крест бо претерпев, погребению предадеся, яко Сам восхоте: и воскрес из мертвых, спасе мя заблуждающаго человека.
",black,,
2123,"Стих:
",,red,,
2124,,"К Тебе возведох очи мои:
Согреших к Тебе Спасе, яко блудный сын, приими мя Отче кающася, и помилуй мя Боже.
",black,,
2125,"Мученичен:
",,red,,
2126,,"Помилуй нас Господи, помилуй нас:
",black,,
2127,"Слава, и ныне: глас 1:
",,red,,
2128,,"Земнаго наслаждения не возлюбившии страстотерпцы, небесных благих сподобишася, и ангелом сограждане быша: Господи, молитвами их, помилуй и спаси нас.
",black,,
2129,"Таже:
",,red,,
2130,,"Со страхом приидоша жены на гроб, ароматы тело Твое помазати тщащыяся, и сие не обретше, недоумевахуся друга ко друзей, не ведуще Воскресения. Но предста им ангел, и рече: воскресе Христос, даруяй нам велию милость.
",black,,
2131,"Тропарь:
",,red,,
2132,,"Ныне отпущаеши:
",black,,
2133,"Слава:
",,red,,
2134,,"Благообразный Иосиф:
",black,,
2135,"И ныне:
",,red,,
2136,,"Егда снизшел еси:
",black,,
2137,"[зри]
",,red,,
2138,,"Мироносицам:
",black,,
2139,"Слава:
",,red,,
2140,,"Аще ли имать святый тропарь, глаголем прежде тропарь: Благообразный иосиф:
",black,,
2141,"И ныне:
",,red,,
2142,,"святаго:
",black,,
2143,"[Тропарь:
",,red,,
2144,,"Мироносицам женам:
",black,,
2145,"и тропарь воскресен:
",,red,,
2146,,"Благообразный Иосиф:
",black,,
2147,"в вечер глаголем их пременяюще, во всю седмицу, якоже и прежде о сем явлено есть.] И ектениа, и отпуст. Служба же святаго Минеи случившагося в сию Неделю, поется на Повечерии. По Трисвятом кондак един Триоди празднику. Сице глаголем даже и до Недели всех святых.
",,red,,
2148,,"Егда снизшел еси к смерти:
",black,,
2149,"## Понедельник
",,red,3_2,
2150,"### В понедельник 3-я седмицы на утрени:
",,red,,3_2_1
2151,"Начало обычное, якоже указася в понедельник вторыя седмицы по Пасце. На
",,red,,
2152,"тропарь, глас 2:
",,red,,
2153,,"Бог Господь:
",black,,
2154,"дважды. Слава:
",,red,,
2155,,"Благообразный Иосиф:
",black,,
2156,"И ныне:
",,red,,
2157,,"Егда снизшел еси:
",black,,
2158,"Сице же глаголются тропари сия чрез всю седмицу. [Аще есть тропарь святаго, глаголем тропарь прежде:
",,red,,
2159,,"Мироносицам женам:
",black,,
2160,"единожды. И тропарь:
",,red,,
2161,,"Благообразный Иосиф:
",black,,
2162,"единожды. Слава: святаго: И ныне:
",,red,,
2163,,"Егда снизшел еси:
",black,,
2164,"По 1-м стихословии седален, глас 2:
",,red,,
2165,,"Мироносицам женам:]
",black,,
2166,"Стих:
",,red,,
2167,,"Камень гробный запечатати не возбранив, камень веры воскресый подал еси всем, Господи, слава Тебе.
",black,,
2168,"Стих:
",,red,,
2169,,"Господи, да не яростию Твоею обличиши мене, ниже гневом Твоим накажеши мене.
Яко волны морския восташа на мя беззакония моя, и яко корабль в пучине, аз един погружаюся согрешеньми многими: но в тихое пристанище настави мя Господи, покаянием, и спаси мя.
",black,,
2170,"Мученичен:
",,red,,
2171,,"Дивен Бог во святых Своих, Бог Израилев.
",black,,
2172,"Слава, и ныне, Богородичен:
",,red,,
2173,,"Тебе одеющаго небо облаки, имуще святии одеяние, в мире муки от беззаконных претерпеша, прелесть идольскую упраздниша. Тех молитвами и нас свободи от невидимаго врага Спасе, и спаси ны.
",black,,
2174,"И чтение.
",,red,,
2175,,"Благоутробия сущи источник, милости сподоби нас Богородице, призри на люди согрешившыя, яви яко присно силу Твою: на Тя бо уповающе, радуйся, вопием Ти, якоже иногда Гавриил безплотных архистратиг.
",black,,
2176,"По 2-м стихословии, седален, глас 2.
",,red,,
2177,"Подобен:
",,red,,
2178,"Слава, и ныне: тойже. И чтение.
",,red,,
2179,,"Вышних ищя:
Мира тепле гробу приносят жены Спасе, ангела светлостию душы веселяху, и Бога Тя всех проповедаху, и учеником вопияху: воистинну воскресе из гроба всех Живот.
",black,,
2180,"Таже,
",,red,,
2181,"единожды. Канон праздника со ирмосы на 8, и Минеи на 4. По 3-й песни, седален святаго По 6-й песни кондак празднику:
",,red,,
2182,,"Воскресение Христово:
",black,,
2183,"И икос. И чтем Пролог, ексапостиларии праздника: Слава, святаго: И ныне: праздника.
",,red,,
2184,,"Радоватися мироносицам:
",black,,
2185,"На хвалитех стихиры на 4, глас 2:
",,red,,
2186,"[Дважды.]
",,red,,
2187,,"Всякое дыхание и вся тварь, Тя славит Господи, яко Крестом смерть упразднил еси, да покажеши людем, еже из мертвых Твое Воскресние, яко един Человеколюбец.
",black,,
2188,"Слава, и ныне: глас 2:
",,red,,
2189,,"Содеянных мною лютых помышляя безместная, к Твоим прибегаю щедротам, мытаря подражая, и блудницу слезившую, и блуднаго сына. Темже и припадаю Ти Милостиве, прежде даже не осудиши мя, пощади мя Боже, и помилуй мя.
За Христа пострадавше даже до смерти, о страстотерпцы мученицы! душы убо имате на небесех в руце Божии, и по всему миру почитаются вашя мощи, священницы и царие кланяются, и людие вси веселятся, и мы обычно вопием: сон честный пред Господем смерть преподобных Его.
",black,,
2190,"На стиховне стихиры праздника, глас 6:
",,red,,
2191,,"Приидоша на гроб Магдалина, и другая Мариа, ищуще Господа, и ангела видеша яко молнию седяща на камени, и глаголюща им: что ищете живаго с мертвыми? воскресе, якоже рече, в Галилеи Его обрящете. К Нему же возопиим: воскресый из мертвых, Господи, слава Тебе.
",black,,
2192,"Подобен:
",,red,,
2193,"Стих:
",,red,,
2194,,"Тридневен:
Начните людие псаломски, воспойте Христа с радостию: Пасха велия возсия нам, воскресый из гроба Христос Жизнодавец, и Избавитель всего создания.
",black,,
2195,"Стих:
",,red,,
2196,,"Благоволил еси Господи землю Твою, возвратил еси плен Иаковль.
Радоватися мироносицам рек, Евино осуждение разрушив, и радость учеником воскрес посылаеши, проповедати еже из гроба тридневное Твое Воскресние.
",black,,
2197,"Слава и ныне: глас 2:
",,red,,
2198,,"Милость и истина сретостеся. правда и мир облобызастася.
Пасху честную и святую, Христос нам озари, приидите вси просветимся душами: се бо ныне день возсия, в сий радуйтеся и веселитеся.
",black,,
2199,"На литургии,
",,red,,
2200,,"Возлияша мира со слезами, на гроб Твой жены, и исполнишася радости уста их, внегда глаголати: воскресе Господь.
",black,,
2201,"на блаженнах, песнь 1-я праздника, на 6. По входе тропари:
",,red,,
2202,"И храма святаго: И тропарь святаго, аще есть. Аще ли будет и другаго святаго тропарь, то рцы его: таже кондак храма. Слава:
",,red,,
2203,,"Благообразный Иосиф: Егда снизшел еси к смерти: Мироносицам женам:
",black,,
2204,"святаго. Аще ли будет и другаго святаго кондак, такожде рцы его:
",,red,,
2205,"И ныне, кондак праздника:
",,red,,
2206,"Такожде глаголем тропари, по вся дни сея святыя седмицы, кроме святаго полиелейнаго. Сице бывает служба вечер, и на Утрени, по вся дни сея седмицы.
",,red,,
2207,,"Радоватися мироносицам:
",black,,
2208,"### В понедельник вечера,
",,red,,3_2_2
2209,"на
",,red,,
2210,"поставим стихов 6. И поем настоящыя стихиры праздника 3. Глас 2.
",,red,,
2211,,"Господи воззвах:
",black,,
2212,"Подобен:
",,red,,
2213,"И минеи 3. Слава, и ныне: глас 2:
",,red,,
2214,,"Егда от Древа:
Егда мироносицы Тя Христе, зело рано взыскаху всех Живота, миры и ароматы имущыя идяху, и любовию плачущыя, слышаху от гроба юношу глаголюща: престаните плачуще, обаче вашему спасению радующеся возопийте всем: яко воста Господь.
Вемы, о благообразный Иосифе! тебе яко херувимскую колесницу, Царя Христа на раму своею понесша, и со креста снемша, ублажаем руце твои, и очи божественнии: почитаем длани твоя, имиже Солнца Слова и Бога, на гроб нося положил еси. Темже и память твою любовию почитаем.
Явися торжество нам боголепных мироносиц, и Иосифа честнаго, якоже другий рай, источник подаяй жизни: благодатныя воды источаяй мирови, изливает востания Христова струи тепле. Множества верных празднуют и взывают: слава давшему Свое Воскресение концем.
",black,,
