 ,red_text,black_text,color,temp
3971,,"Ἐν τῷ Σταυρῷ παρεστῶσα, ἡ ἄμεμπτος Θεοτόκος, μητρικῶς ἀνεκαλεῖτο. Κατέλιπές με τὴν μόνην, Υἱέ μου καὶ Θεέ.",black,
3972,,"Σὺ τὸν ἀρχέκακον ὄφιν, τῷ ὅπλῳ τῷ τοῦ Σταυροῦ σου, καθελὼν τῇ σῇ Ἐγέρσει, συνέτριψας τὸ κέντρον, τοῦ θανάτου Ἰησοῦ.",black,
3973,,"Ποῦ σου θάνατε τὸ κέντρον, ποῦ σου, ᾍδη τὸ νῖκος, ὁ Ἀδὰμ συνεκβοάτω· συντέτριψαι ζωώσει, τοῦ ἐγείραντος νεκρούς.",black,
3974,,"Αἱ Μυροφόροι γυναῖκες, τὸ μνῆμα καταλαβοῦσαι, τοῦ ζωώσαντος τοὺς κάτω, φωνῆς ἤκουον λεγούσης· Ἐξανέστη ὁ Χριστός.",black,
3975,,"Τῶν εὐσεβῶν Μυροφόρων, τὴν μνήμην ἐπιτελοῦντες, καὶ πάντων τῶν Μαθητῶν σου, ἐν τῇ φαιδρᾷ σου Ἐγέρσει, ἀνυμνοῦμέν σε Χριστέ.",black,
3976,,"Τὸν εὐσχήμονα πάντες, τιμήσωμεν ἐπαξίως, ὃς τὸ σῶμα τοῦ Κυρίου, ἀπὸ τοῦ ξύλου καθεῖλε, καὶ ἐκήδευσε πιστῶς.",black,
3977,,Δόξα...,black,
3978,,"Σὲ τὸν Θεὸν καὶ Πατέρα, καὶ τὸν Υἱὸν καὶ τὸ Πνεῦμα, προσκυνῶ τρεῖς ὑποστάσεις καὶ ἓν τὰ τρία πιστεύω, οὐσιότητι μιᾷ.",black,
3979,,Καὶ νῦν...,black,
3980,Θεοτοκίον,,red,
3981,,"Σὲ τὴν ἀσπόρῳ κυήσει, γεννήσασαν ὑπὲρ φύσιν, τὸν καινίσαντα τὴν φύσιν, Χριστὸν τὸν μόνον Δεσπότην, ἀνυμνοῦμεν οἱ πιστοί.",black,
3982,"Κανών α', ᾨδὴ ς', τῶν Μυροφόρων",,red,
3983,Ἦχος β',,red,
3984,Ὁ Εἱρμὸς,,red,
3985,,"«Βυθῷ ἁμαρτημάτων συνέχομαι ἀεί, καὶ ἐν πελάγει τοῦ βίου βυθίζομαι, ἀλλ' ὥσπερ τὸν Ἰωνᾶν ἐκ τοῦ θηρός, κἀμὲ τῶν παθῶν ἀνάγαγε, καὶ διάσωσόν με».",black,
3986,,"Νεκρός ἐστιν ὁ ᾍδης, θαρσεῖτε γηγενεῖς· ὁ γὰρ Χριστὸς ἐπὶ ξύλου κρεμάμενος, ἀπέρριψε τὴν ῥομφαίαν κατ΄ αὐτοῦ, καὶ κεῖται νεκρός· οὓς εἶχε γὰρ ἐσκυλεύθη γυμνωθείς.",black,
3987,,"Ἐσκύλευται ὁ ᾍδης, θαρσεῖτε οἱ νεκροί, καὶ τὰ μνημεῖα ἠνοίχθη, ἐγείρεσθε, βοᾷ ὑμῖν ἐκ τοῦ ᾍδου ὁ Χριστός, ὁ πάντας ἐλθὼν λυτρώσασθαι, ἐκ θανάτου καὶ φθορᾶς.",black,
3988,,"Νεκροὺς οὕς περ ἰσχύσας, κατέπιες ποτέ, νῦν ἀπαιτούμενος ᾍδης, ἀπόδος μοι· βοᾷ σοι ὁ ζωοδότης καὶ Θεός, ὁ πάντας ἐλθὼν λυτρώσασθαι, τῆς ἀπλήστου σου γαστρός.",black,
3989,,"Ὁ Κύριος ἀνέστη σκυλεύσας τὸν ἐχθρὸν καὶ τοὺς δεσμίους ἐκσπάσας, ἀνήγαγε πάντας, καὶ τὸν πρωτόπλαστον Ἀδάμ, αὐτὸν ἀνιστῶν ὡς εὔσπλαγχνος, καὶ φιλάνθρωπος Θεός.",black,
3990,,"Σινδόνι σε εἱλήσας, κατέθετο Χριστέ, Ἰωσὴφ ὁ εὐσχήμων ἐν μνήματι, μυρίσας δὲ τὸν λυθέντα σου ναόν, τοῦ σώματος, προσεκύλισε, λίθον μέγαν τῇ σορῷ.",black,
3991,,"Γυναῖκες Μυροφόροι, τί σπεύδετε λοιπόν, τί δὲ τὰ μύρα τῷ ζῶντι κομίζετε; ἀνέστη καθὼς προεῖπεν ὁ Χριστός, παυσάσθω ὑμῶν τὰ δάκρυα, μετελθόντα εἰς χαράν.",black,
3992,,Δόξα...,black,
3993,,"Τριάδα ἐν μονάδι ὑμνήσωμεν πιστοί, σὺν τῷ Υἱῷ τὸν Πατέρα δοξάζοντες, καὶ Πνεῦμα τὸ ὁμοούσιον Υἱῷ, καὶ ὃν ἐν Πατρὶ συνάναρχον, καὶ ἀΐδιον Θεόν.",black,
3994,,Καὶ νῦν...,black,
3995,Θεοτοκίον,,red,
3996,,"Γαστρὶ ἀγεωργήτως συνέλαβες Ἁγνή, τῆς ἀφθαρσίας τὸν βότρυν ὡς ἄμπελος, ἐξ οὗ τῆς ἀθανασίας οἱ κρουνοί, ὡς οἶνον ἡμῖν πηγάζουσι, τὴν αἰώνιον ζωήν.",black,
3997,Κοντάκιον,,red,
3998,Ἦχος β',,red,
3999,Αὐτόμελον,,red,
4000,,"Τὸ Χαῖρε ταῖς Μυροφόροις φθεγξάμενος, τὸν θρῆνον τῆς προμήτορος Εὔας κατέπαυσας, τῇ Ἀναστάσει σου, Χριστὲ ὁ Θεός, τοῖς Ἀποστόλοις δὲ τοῖς σοῖς κηρύττειν ἐπέταξας,",black,
4001,"Κανών α', ᾨδὴ ζ', τῶν Μυροφόρων",,red,
4002,Ἦχος β',,red,
4003,Ὁ Εἱρμὸς,,red,
4004,,"Τὰ Χερουβὶμ μιμούμενοι, Παῖδες ἐν τῇ καμίνῳ, ἐχόρευον βοῶντες· Εὐλογητὸς εἶ ὁ Θεός, ὅτι ἐν ἀληθείᾳ καὶ κρίσει ἐπήγαγες, ταῦτα πάντα διὰ τὰς ἁμαρτίας ἡμῶν, ὁ ὑπερύμνητος, καὶ δεδοξασμένος εἰς πάντας τοὺς αἰῶνας.",black,
4005,,"Σὺ ὡς φιλάνθρωπος θέλων, πάντας σῶσαι ἐκ πλάνης, οὓς ἔπλασας, ἠνέσχου, προσηλωθῆναι τῷ σταυρῷ, ἵνα τὴν συγχωσθεῖσαν εἰκόνα τοῖς πάθεσι, ταύτην τῇ σαρκὶ σου ἀνανεώσῃς Σωτήρ, καὶ ᾍδην καθελών, συνεξανέστησας, καὶ τοὺς θανόντας σεαυτῷ.",black,
4006,,"Ἐν τῷ σταυρῷ ὑψούμενος πάντας προσεκαλέσω, πρὸς σεαυτὸν οἰκτίρμον ὡς ἐπηγγείλω ἀγαθέ, ὅτι ἐν ἀληθείᾳ ταῦτα πάντα, διὰ τὰς ἁμαρτίας ἡμῶν παθεῖν ηὐδόκησας· ὅθεν καὶ τῷ Λῃστῇ, τὰς τοῦ Παραδείσου πύλας ἠνέῳξας Σωτήρ.",black,
4007,,"Σὺ τὸν ναὸν τοῦ σώματος ἤγειρας τὸν λυθέντα, τριήμερον ἐκ τάφου, ὡς ἐπηγγείλω ἀγαθέ, ἵνα ἐν ἀληθείᾳ γνωρίσῃς τὴν δόξαν σου, ἣν ἡμῖν πηγάζεις διὰ τῆς πίστεως, δεσμίους ἀφελῶν οὓς κατεῖχε πάλαι ᾍδης πεπεδημένους.",black,
4008,,"Ὢ Ἰουδαίων ἄνοια! ὢ μανία ἀνόμων! Τί ἄπιστον ἰδόντες, οὐκ ἐπιστεύσατε Χριστῷ; ὅτι τοὺς ἀσθενοῦντας ἐν λόγῳ οὐκ ἤγειρεν, ἢ ὅτι πάντα κόσμον αὐτὸς οὐκ ἔσωσε; Πεισάτωσαν ὑμᾶς κἂν οἱ στρατιῶται, οἱ ἀναστάντες ἐκ νεκρῶν.",black,
4009,,"Οἱ νεκρωθέντες φύλακες, νῦν λεγέτωσαν, ὅπως ἐκλάπη ὃν οὐκ εἶδον, οἱ ἀγνώμονες παντί. Εἰ γὰρ ἐξαναστάντα οὐκ εἶδον, οὐκ ᾔσθοντο, πῶς κλαπέντα οὕτω νοῆσαι εἶχόν ποτε: Πεισάτωσαν ὑμᾶς, κἂν ὁ λίθος οὗτος, καὶ τὰ ἐντάφια Χριστοῦ.",black,
4010,,"Τί ὡς νεκρὸν φυλάττετε; τί σφραγῖδας τῷ λίθῳ τεθήκατε; Ἑβραῖοι, φόβον φοβούμενοι κλοπῆς, ἰδοὺ ἐν ἀληθείᾳ ὁ τάφος ἐσφράγισται, πῶς οὖν ἐξανέστη, εἰ μὴ Θεός ἦν ὁ Χριστός; Πεισάτωσαν ὑμᾶς οἱ ἐξαναστάντες, καὶ ὁραθέντες τοῖς πολλοῖς.",black,
4011,,Δόξα...,black,
4012,,"Σὺν τῷ Πατρὶ δοξάζομεν, τὸν Υἱὸν καὶ τὸ Πνεῦμα τὸ ἅγιον, βοῶντες, ἀκαταπαύστῳ τῇ φωνῇ· Τριὰς μοναδικὴ οὐσία, ἐλέησον, σῶσον πάντας, ἡ ἐν τρισὶ προσώποις μονάς, οἰκτίρησον ἡμᾶς, ὁ δεδοξασμένος Θεὸς εἰς τοὺς αἰῶνας.",black,
4013,,Καὶ νῦν...,black,
4014,Θεοτοκίον,,red,
4015,,"Ἐν τῇ γαστρί σου Ἄχραντε, πῶς ἐχώρησας βρέφος, ὃν τρέμουσι δυνάμεις, αἱ τῶν Ἀγγέλων ὡς Θεόν; εἰ μὴ ὡς ἠβουλήθη, ὡς οἶδεν, ἐσκήνωσε, πάντας θέλων, σῶσαι τοὺς ἐξ Ἀδὰμ γηγενεῖς, λύσας τὸν Ἀδὰμ τῆς ἀρᾶς ἐκείνης, τῆς διὰ βρώσεως πικρᾶς.",black,
4016,"Κανών α', ᾨδὴ η', τῶν Μυροφόρων",,red,
4017,Ἦχος β',,red,
4018,Ὁ Εἱρμὸς,,red,
4019,,"«Τὸν ἐν τῇ βάτῳ Μωσεῖ, τῆς Παρθένου τὸ θαῦμα, ἐν Σιναίῳ τῷ ὄρει προτυπώσαντα ποτέ, ὑμνεῖτε, εὐλογεῖτε, καὶ ὑπερυψοῦτε εἰς πάντας τοὺς αἰῶνας».",black,
4020,,"Αἱ τοῦ ἡλίου αὐγαί, συνεστέλλοντο φόβῳ, τῶν Χριστοῦ παθημάτων, καὶ ἀνίσταντο νεκροί, καὶ ὄρη ἐκλονεῖτο, καὶ ἐδονεῖτο ἡ γῆ, καὶ ᾍδης ἐγυμνοῦτο.",black,
4021,,"Οἱ ἐν καμίνῳ ποτέ, τρισμακάριοι Παῖδες, ἀνυψοῦντες τὰς χεῖρας, προετύπουν ἀγαθέ, τὸν ἄχραντον Σταυρόν σου, δι' οὗ καθεῖλες Χριστέ, ἐχθροῦ τὴν δυναστείαν.",black,
4022,,"Ὦ Ἰουδαῖοι τυφλοί, πλάνοι καὶ παραβάται, οἱ Χριστοῦ τῇ Ἐγέρσει, ἀπειθοῦντες ὡς ψευδεῖ; τί ἄπιστον ὁρᾶτε; ὅτι ἀνέστη Χριστός, ὁ τοὺς νεκροὺς ἐγείρας;",black,
4023,,"Ὦ Ἰουδαῖοι ἐχθροί, κἂν ἡμῖν ἀπιστεῖτε, τοὺς ὑμῶν στρατιώτας, ἐρωτήσατε ὑμεῖς, τί ἔπαθον ἐκεῖνοι; τίς ὁ κυλίσας χερσί, τὸν λίθον τοῦ μνημείου;",black,
4024,,"Τίς ὁ ξηράνας συκῆν; τίς δὲ τὴν ξηρανθεῖσαν, ἰασάμενος χεῖρα; τίς ὁ χορτάσας ποτέ, τὰ πλήθη ἐν ἐρήμῳ; εἰμὴ Χριστὸς ὁ Θεός, ὁ τοὺς νεκροὺς ἐγείρας.",black,
4025,,"Τίς ὁ φωτίσας τυφλούς, καὶ λεπροὺς ἐκκαθάρας, καὶ χωλοὺς ἀνορθώσας, καὶ πεζεύσας ὡς ξηράν, τὴν θάλασσαν ἀβρόχως; εἰ μὴ Χριστὸς ὁ Θεός, ὁ τοὺς νεκροὺς ἐγείρας.",black,
4026,,"Τίς ὁ ἐγείρας νεκρόν, τεταρταῖον ἐκ τάφου, καὶ τῆς χήρας τὸν υἱόν; τίς ὁ σφίγξας ὡς Θεός, παράλυτον ἐν κλίνῃ; εἰ μὴ Χριστὸς ὁ Θεός, ὁ τοὺς νεκροὺς ἐγείρας.",black,
4027,,"Κράζει ὁ λίθος αὐτός, αἱ σφραγῖδες βοῶσιν, ἃς ὑμεῖς ἐπιθέντες, κατεστήσατε φρουροὺς φυλάσσοντας τὸ μνῆμα. Ὄντως ἀνέστη Χριστός, καὶ ζῇ εἰς τοὺς αἰῶνας.",black,
4028,,"Ὄντως ἀνέστη Χριστός, ἐσκυλεύθη ὁ ᾍδης, ἐνεκρώθη ὁ ὄφις, ἐλυτρώθη ὁ Ἀδάμ, ἐσώθησαν οἱ κάτω. Τί ἀπιστεῖτε λοιπόν, ἐχθροὶ καὶ παραβάται;",black,
4029,,Δόξα...,black,
4030,,"Σὺν τῷ Πατρὶ τὸν Υἱόν, καὶ τὸ ἅγιον Πνεῦμα, τὴν ἁγίαν Τριάδα, ἐν Θεότητι μιᾷ, δοξάζομεν βοῶντες· Ἅγιος, Ἅγιος, Ἅγιος εἶ εἰς τοὺς αἰῶνας.",black,
4031,,Καὶ νῦν...,black,
4032,Θεοτοκίον,,red,
4033,,"Ἐν τῇ γαστρί σου Ἁγνή, τὸν ἀείζωον ἄρτον, φυραθέντα ἀφύρτως, ἐν φυράματι ἡμῶν, ἐγέννησας ἀτρέπτως, ἕνα Χριστὸν τὸν Θεόν, ἐν δυσὶ ταῖς οὐσίαις.",black,
4034,"Κανών α', ᾨδὴ θ', τῶν Μυροφόρων",,red,
4035,Ἦχος β',,red,
4036,Ὁ Εἱρμὸς,,red,
4037,,"«Τὴν ὑπερφυῶς σαρκὶ συλλαβοῦσαν ἐν γαστρί, τὸν ἐκ Πατρὸς ἀχρόνως, προεκλάμψαντα Λόγον, ἐν ὕμνοις ἀσιγήτοις, μεγαλύνωμεν πιστοί».",black,
4038,,"Τὸν ἐν τῷ Σταυρῷ Λῃστήν, ἐπιγνόντα σε Θεόν, κληρονόμον εἰργάσω, νοητοῦ Παραδείσου, τὸ Μνήσθητι βοῶντα, παντοδύναμε Σωτήρ.",black,
4039,,"Ἐρραπίσθης δι' ἡμᾶς, ἐνεπτύσθης Ἰησοῦ, ὑπὸ τῶν παρανόμων, ὁ τὰς πλάκας τοῦ νόμου, χαράξας ἐν Σιναίῳ, τῷ θεράποντι Μωσεῖ.",black,
4040,,"Ὄξος καὶ χολὴν Σωτήρ, ἐποτίσθης δι' ἡμᾶς, ὁ δοὺς ἡμῖν τὸ Σῶμα, καὶ τὸ τίμιον Αἷμα, εἰς βρῶσίν τε καὶ πόσιν, αἰωνίου σου ζωῆς.",black,
4041,,"Τὴν ζωοποιὸν πλευράν, λόγχῃ κεντηθεὶς Χριστέ, τὸ ἄχραντόν σου Αἷμα, καὶ τὸ τίμιον Ὕδωρ, ἐπήγασας τῷ κόσμῳ, ὡς ἀείζωον πηγήν.",black,
4042,,"Ἑλογίσθης ἐν νεκροῖς, ὁ ζωώσας τοὺς νεκρούς, ἐν τάφῳ κατετέθης, ὁ κενώσας τοὺς τάφους, ἐσκύλευσας τὸν ᾍδην, ἀναστήσας τὸν Ἀδάμ.",black,
4043,,"Ἐξανέστης Ἰησοῦ, ἐδεσμεύθη ὁ ἐχθρός, ἐσκυλεύθη ὁ ᾍδης, ἐγυμνώθησαν τάφοι, ἠγέρθησαν οἱ κάτω, προσκυνοῦντές σε Χριστέ, ὁ κλέψας τὸν νεκρόν.",black,
4044,,"Τίς, μάλιστα δὲ καὶ γυμνόν; τί πλανᾶσθε Ἑβραῖοι; ὁ Χριστὸς ἐξανέστη, καὶ λέλυνται τοῦ ᾍδου, τὰ δεσμὰ καὶ οἱ μοχλοί.",black,
4045,,"Δόξα σοι Χριστὲ Σωτήρ, ὁ πηγάσας τὴν ζωήν, καὶ τὸ φῶς ἀνατείλας, τοῖς ἐν σκότει ἀγνοίας, καὶ πᾶσαν καταλάμψας, τῇ Ἐγέρσει σου τὴν γῆν.",black,
4046,,"Ὁ εὐσχήμων βουλευτής, ἀνυμνείσθω Ἰωσήφ, μετὰ τῶν Μυροφόρων, καὶ τῶν θείων Μαθητῶν, ὡς κήρυξ ὢν καὶ οὗτος, τῆς Ἐγέρσεως Χριστοῦ.",black,
4047,,"Ἰωσὴφ τὸν θαυμαστόν, εὐφημήσωμεν πιστοί, συνάμα Νικοδήμῳ, καὶ πισταῖς Μυροφόροις, ὁ Κύριος ἀνέστη, ἐκβοῶντες ἀληθῶς.",black,
4048,,Δόξα...,black,
4049,,"Ἄναρχος εἶ ὁ Πατήρ, ἄκτιστος εἶ ὁ Υἱός, σύνθρονον καὶ τὸ Πνεῦμα, ἓν τὰ τρία τῇ φύσει, καὶ τρία τοῖς προσώποις, εἷς Θεὸς ἀληθινός.",black,
4050,,Καὶ νῦν...,black,
4051,Θεοτοκίον,,red,
4052,,"Εὐφραινέσθω Ἰεσσαί, χορευέτω καὶ Δαυΐδ· ἰδοὺ γὰρ ἡ Παρθένος, ἡ θεόφυτος ῥάβδος, ἐβλάστησε τὸ ἄνθος, τὸν ἀείζωον Χριστόν.",black,
4053,ἘξαποστειλάριονἮχος β',,red,
4054,Αὐτόμελον,,red,
4055,,"Γυναῖκες ἀκουτίσθητε, φωνὴν ἀγαλλιάσεως, Τύραννον ᾍδην πατήσας, φθορᾶς ἐξήγειρα κόσμον, δράμετε φίλοις εἴπατε, τοῖς ἐμοῖς εὐαγγέλια· βούλομαι γὰρ τὸ πλάσμα μου, χαρὰν ἐκεῖθεν αὐγάσαι, ἐξ ἧς προῆλθεν ἡ λύπη.",black,
4056,Εἰς τοὺς Αἲνους,,red,
4057,Στιχηρὰ,,red,
4058,Ἦχος β',,red,
4059,Ἀναστάσιμον,,red,
4060,,"Εἰπάτωσαν Ἰουδαῖοι· Πῶς οἱ στρατιῶται ἀπώλεσαν τηροῦντες τὸν βασιλέα; διὰ τί γὰρ ὁ λίθος οὐκ ἐφύλαξε τὴν πέτραν τῆς ζωῆς; Ἢ τὸν ταφέντα δότωσαν, ἢ ἀναστάντα προσκυνείτωσαν, λέγοντες σὺν ἡμῖν· Δόξα τῷ πλήθει τῶν οἰκτιρμῶν σου, Σωτὴρ ἡμῶν, δόξα σοι.",black,
4061,Ἦχος β',,red,
4062,,"Εἰπάτωσαν Ἰουδαῖοι· Πῶς οἱ στρατιῶται ἀπώλεσαν τηροῦντες τὸν βασιλέα; διὰ τί γὰρ ὁ λίθος οὐκ ἐφύλαξε τὴν πέτραν τῆς ζωῆς; Ἢ τὸν ταφέντα δότωσαν, ἢ ἀναστάντα προσκυνείτωσαν, λέγοντες σὺν ἡμῖν· Δόξα τῷ πλήθει τῶν οἰκτιρμῶν σου, Σωτὴρ ἡμῶν, δόξα σοι.",black,
4063,Ἦχος β',,red,
4064,Κατανυκτικὸν,,red,
4065,,"Τὰς ἀνομίας μου πάριδε Κύριε, ὁ ἐκ Παρθένου τεχθείς, καὶ τὴν καρδίαν μου καθάρισον, ναὸν αὐτὴν ποιῶν τοῦ ἁγίου σου Πνεύματος, μή με ἐξουδενώσῃς ἀπὸ τοῦ σοῦ προσώπου, ὁ ἀμέτρητον ἔχων τὸ ἔλεος.",black,
4066,Ἦχος β',,red,
4067,Μαρτυρικὸν,,red,
4068,,"Τὸν Σταυρὸν τοῦ Χριστοῦ λαβόντες οἱ ἅγιοι Μάρτυρες ὅπλον ἀκαταγώνιστον, πᾶσαν τοῦ Διαβόλου τὴν ἰσχὺν κατήργησαν, καὶ λαβόντες στέφος οὐράνιον, τεῖχος ἡμῖν γεγόνασιν, ὑπὲρ ἡμῶν ἀεὶ πρεσβεύοντες.",black,
4069,,Δόξα... Καὶ νῦν...,black,
4070,Ἦχος β',,red,
4071,,"Αἱ Μυροφόροι γυναῖκες, ὄρθρου βαθέος, ἀρώματα λαβοῦσαι, τοῦ Κυρίου τὸν τάφον κατέλαβον, ἅπερ δὲ οὐκ ἤλπιζον εὑροῦσαι, διελογίζοντο εὐλαβούμεναι, τοῦ λίθου τὴν μετάθεσιν, καὶ πρὸς ἀλλήλας διελέγοντο· Ποῦ εἰσιν αἱ σφραγῖδες τοῦ μνήματος; ποῦ ἐστιν ἡ τοῦ Πιλάτου κουστωδία, καὶ ἀκριβὴς ἀσφάλεια; Γέγονε δὲ μηνυτής τῶν ἀγνοουσῶν Γυναικῶν, ἐξαστράπτων Ἄγγελος, καὶ φάσκων πρὸς αὐτάς· Τί μετὰ θρήνων ζητεῖτε τὸν ζῶντα, καὶ ζωοποιήσαντα τὸ γένος τῶν βροτῶν; Ἐξηγέρθη Χριστός ὁ Θεὸς ἡμῶν, ἐκ νεκρῶν ὡς παντοδύναμος, παρέχων πᾶσιν ἡμῖν, ἀφθαρσίαν καὶ ζωήν, φωτισμὸν καὶ τὸ μέγα ἔλεος.",black,
4072,"Εἰς τὸν Στίχον, Στιχηρὰ Προσόμοια τῆς Ἑορτῆς",,red,
4073,Ἦχος β',,red,
4074,Ὅτε ἐκ τοῦ ξύλου σε νεκρὸν,,red,
4075,,"Σέλας τὸ τρισήλιον ἐν γῇ σήμερον φαιδρῶς ἐξαστράπτει καὶ ζόφον αἴρει παθῶν, φαίνει ἡ Ἀνάστασις, Χριστοῦ, φρουροῦσα πιστούς, Ἀποστόλων χορεύουσι, τὰ τάγματα πόθῳ , Ἰωσὴφ εὐφραίνεται, καὶ Μυροφόρων σεπτῶν, μνήμη ἡ φαιδρὰ καταστέφει, τοὺς αὐτὰς πιστῶς εὐφημοῦντας, καὶ τὴν θείαν Ἔγερσιν δοξάζοντας.",black,
4076,Στίχ.,,red,
4077,Ἦχος β',,red,
4078,,"Ἄρας ἐπὶ ὤμων Ἰωσήφ, τὸν ἐν δεξιᾷ τῇ πατρῴᾳ Υἱὸν καθήμενον, μύρον τὸ ἀκένωτον, μύροις ἐκήδευσας, τὴν τοῦ κόσμου ἀνάστασιν, προτέθεικας τάφῳ, τὸν ἀναβαλλόμενον φῶς ὡς ἱμάτιον, λίθῳ συγκαλύπτεις ἀφράστως. Ὅθεν τούτου μέλπωμεν ὕμνοις, τὰ φωσφόρα Πάθη καὶ τὴν Ἔγερσιν.",black,
4079,Στίχ.,,red,
4080,Ἦχος β',,red,
4081,,"Φρίττει τῶν Ἀγγέλων ἡ πληθύς, σὲ ὦ Ἰωσὴφ καθορῶσα, Χριστὸν κηδεύοντα· κόσμος μακαρίζει σε, πιστοὶ θαυμάζομεν, τὴν σεπτήν τε Ἀνάστασιν, τιμῶντες ἐνθέως, σὺν ταῖς Μυροφόροις σε, θερμῶς γεραίρομεν· ὅθεν καὶ βοῶμεν ἀπαύστως· Πρέσβευε σὺν ταύταις σωθῆναι, καὶ ἡμᾶς κινδύνων τε καὶ θλίψεων.",black,
4082,,Δόξα... Καὶ νῦν...,black,
4083,Ἦχος α',,red,
4084,,"Μετὰ φόβου ἦλθον αἱ Γυναῖκες, ἐπὶ τὸ μνῆμα ἀρώμασι τὸ σῶμά σου μυρίσαι σπουδάζουσαι, καὶ τοῦτο μὴ εὑροῦσαι διηπόρουν πρὸς ἀλλήλας, ἀγνοοῦσαι τὴν Ἀνάστασιν, ἀλλ' ἐπέστη αὐταῖς Ἄγγελος καὶ εἶπεν· Ἀνέστη Χριστός, δωρούμενος ἡμῖν τὸ μέγα ἔλεος.",black,
4085,Ἀντίφωνον α'Ἦχος β'Στίχ.,,red,
4086,,Ἀλαλάξατε τῷ Κυρίῳ πᾶσα ἡ γῆ.,black,
4087,Στίχ.,,red,
4088,,"Ψάλατε δὴ τῷ ὀνόματι αὐτοῦ, δότε δόξαν ἐν αἰνέσει αὐτοῦ.",black,
4089,Στίχ.,,red,
4090,,Εἴπατε τῷ Θεῷ· Ὡς φοβερὰ τὰ ἔργα σου. Ἐν τῷ πλήθει τῆς δυνάμεώς σου ψεύσονταί σε οἱ ἐχθροί σου.,black,
4091,Στίχ.,,red,
4092,,"Πᾶσα ἡ γῆ προσκυνησάτωσάν σοι καὶ ψαλάτωσάν σοι, ψαλάτωσαν δὴ τῷ ὀνόματι σου Ὕψιστε.",black,
4093,Ἀντίφωνον β'Ἦχος ὁ αὐτὸς Στίχ.,,red,
4094,,"Ὁ Θεὸς οἰκτειρήσαι ἡμᾶς καὶ εὐλογήσαι ἡμᾶς, ἐπιφάναι τὸ πρόσωπον αὐτοῦ ἐφ' ἡμᾶς, καὶ ἐλεήσαι ἡμᾶς.",black,
4095,Στίχ.,,red,
4096,,"Τοῦ γνῶναι ἐν τῇ γῇ τὴν ὁδόν σου, ἐν πᾶσιν ἔθνεσι τὸ σωτήριόν σου.",black,
4097,Στίχ.,,red,
4098,,"Ἐξομολογησάσθωσάν σοι λαοί, ὁ Θεός, ἐξομολογησάσθωσάν σοι λαοὶ πάντες.",black,
4099,Στίχ.,,red,
4100,,"Εὐλογήσαι ἡμᾶς ὁ Θεός, καὶ φοβηθήτωσαν αὐτὸν πάντα τὰ πέρατα τῆς γῆς.",black,
4101,Ἀντίφωνον γ'Ἦχος πλ. α'Στίχ.,,red,
4102,,"Ἀναστήτω ὁ Θεός, καὶ διασκορπισθήτωσαν οἱ ἐχθροὶ αὐτοῦ, καὶ φυγέτωσαν ἀπὸ προσώπου αὐτοῦ οἱ μισοῦντες αὐτόν.",black,
4103,,"Χριστὸς ἀνέστη ἐκ νεκρῶν, θανάτῳ θάνατον πατήσας, καὶ τοῖς ἐν τοῖς μνήμασι, ζωὴν χαρισάμενος.",black,
4104,Στίχ.,,red,
4105,,"Ὡς ἐκλείπει καπνός, ἐκλιπέτωσαν, ὡς τήκεται κηρὸς ἀπὸ προσώτου πυρός.",black,
4106,Στίχ.,,red,
4107,,"Οὕτως ἀπολοῦνται οἱ ἁμαρτωλοὶ ἀπὸ προσώπου τοῦ Θεοῦ, καὶ οἱ δίκαιοι εὐφρανθήτωσαν.",black,
4108,Στίχ.,,red,
4109,,"Αὕτη ἡ ἡμέρα, ἣν ἐποίησεν ὁ Κύριος, ἀγαλλιασώμεθα καὶ εὐφρανθῶμεν ἐν αὐτῇ.",black,
4110,Εἰσοδικὸν,,red,
4111,,"Ἐν Ἐκκλησίαις εὐλογεῖτε τὸν Θεόν, Κύριον ἐκ πηγῶν Ἰσραήλ...",black,
4112,Μεγαλυνάριον,,red,
4113,,"Φωτίζου, φωτίζου ἡ νέα Ἱερουσαλήμ· ἡ γὰρ δόξα Κυρίου ἐπὶ σὲ ἀνέτειλε. Χόρευε νῦν, καὶ ἀγάλλου Σιών· σὺ δὲ ἁγνή, τέρπου, Θεοτόκε, ἐν τῇ ἐγέρσει τοῦ τόκου σου.",black,
4114,Κοινωνικὰ,,red,
4115,,"Σῶμα Χριστοῦ μεταλάβετε, πηγῆς ἀθανάτου γεύσασθε. Ἀλληλούϊα.",black,
4116,,Εἰς μνημόσυνον αἰώνιον ἔσται Δίκαιος. Ἀλληλούϊα.,black,
4117,ΠΕΝΤΗΚΟΣΤΑΡΙΟΝ,,red,temp
4118,ΕΝ Τῼ ΕΣΠΕΡΙΝῼ,,red,temp
4119,Στιχηρὰ Προσόμοια τῆς Ἑορτῆς,,red,
4120,Ἦχος β',,red,
4121,Ὅτε ἐκ τοῦ ξύλου σε νεκρὸν,,red,
